person,personLabel,university,universityLabel,birthplaceLabel,country,countryLabel,organisationLabel,yearfoundedLabel
http://www.wikidata.org/entity/Q3888215,Hannes Sköld,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Västerlövsta church parish,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4950540,Eva Gothlin,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Norrköping,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q522657,Christina Olofson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Kristinehamn,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q3352161,Agneta Pleijel,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Stockholm,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4887775,Bengt-Åke Lundvall,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Sweden,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q315107,José González,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Gothenburg,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q919874,Carl Henrik Fredriksson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Jönköping,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q3030676,Percy Barnevik,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Simrishamn,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q4935892,Marianne Andersson,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Vårgårda,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1747619,Emma Wertsén,http://www.wikidata.org/entity/Q371522,University of Gothenburg,Sweden,http://www.wikidata.org/entity/Q34,Sweden,Gothenburg Municipality,1954-07-01T00:00:00Z
